Frame,Thumb MCP,Thumb PIP,Thumb DIP,Index MCP,Index PIP,Index DIP,Index Abduction,Middle MCP,Middle PIP,Middle DIP,Middle Abduction,Ring MCP,Ring PIP,Ring DIP,Ring Abduction,Pinky MCP,Pinky PIP,Pinky DIP,Pinky Abduction,Pose
6,24.73,0.32,8.81,1.31,0.66,1.44,118.53,7.15,0.24,1.06,65.92,5.36,2.68,0.42,28.84,4.66,0.16,2.53,83.63,Pose 1
7,25.11,0.64,11.5,2.49,1.68,2.69,118.12,8.29,0.36,2.97,64.47,4.42,2.46,0.32,29.15,5.52,0.8,1.89,83.55,Pose 1
12,26.15,1.17,8.81,1.46,1.8,4.39,122.67,8.22,0.85,2.53,62.3,3.18,2.94,1.38,29.68,4.66,1.55,5.08,80.72,Pose 1
16,34.53,7.16,9.1,2.88,2.14,2.22,98.9,1.8,0.53,0.32,46.52,7.76,3.43,0.0,32.65,0.11,2.05,1.01,79.4,Pose 1
10,38.19,24.31,11.5,14.86,5.19,2.9,86.41,3.54,0.0,1.91,24.04,11.36,2.3,0.77,24.08,26.88,4.4,1.91,44.42,Pose 2
8,35.62,14.8,8.63,16.19,3.17,2.6,99.32,4.17,0.57,0.26,27.02,12.05,0.06,0.72,25.5,28.82,1.54,3.03,46.14,Pose 2
11,36.08,22.58,7.59,15.4,4.09,2.76,85.91,2.92,0.0,0.0,24.04,11.96,2.32,1.35,23.43,29.62,0.7,2.77,44.78,Pose 2
32,33.86,7.85,3.85,89.61,12.05,3.22,72.42,99.35,3.18,1.91,11.4,105.95,0.0,6.84,18.44,102.41,4.29,6.71,31.76,Pose 3
33,33.46,8.53,1.63,92.69,12.96,4.26,71.31,102.68,5.49,2.03,12.04,104.32,5.27,4.86,10.63,97.72,6.95,6.23,26.68,Pose 3
35,30.16,8.38,1.62,92.32,9.09,5.65,55.01,102.09,5.36,2.45,11.18,106.53,5.94,2.42,13.04,102.83,4.32,2.73,18.36,Pose 3
36,29.38,13.13,3.37,97.85,8.81,3.7,61.77,104.6,5.26,3.72,8.6,110.46,2.33,0.71,12.21,107.42,1.47,0.0,19.24,Pose 3
72,38.17,1.64,2.6,78.51,97.56,49.7,44.72,85.74,97.29,54.59,4.24,82.08,99.64,56.83,6.0,75.98,95.58,55.01,4.47,Pose 4
73,32.96,2.92,2.12,87.1,89.47,42.76,49.82,97.17,94.85,45.36,6.08,96.85,93.97,45.0,9.06,91.9,78.12,48.2,5.0,Pose 4
74,29.0,2.47,4.24,86.63,90.74,47.48,46.69,97.17,94.85,50.63,7.07,96.18,96.15,51.39,9.06,93.99,79.06,53.21,5.83,Pose 4
75,30.77,2.31,7.13,87.23,94.57,42.51,47.68,97.68,93.82,48.54,6.08,97.26,97.61,43.51,10.2,93.9,82.87,45.0,4.24,Pose 4
76,35.05,1.08,2.29,87.77,92.06,45.11,46.87,97.99,92.23,51.12,6.08,97.65,93.61,48.54,10.05,93.94,80.85,48.58,5.39,Pose 4
